last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Semien, Marcus,543760,2021,724,509,0.265,0.249,0.016000000000000014,0.538,0.459,0.07900000000000001,0.368,0.336,0.03199999999999997
Merrifield, Whit,593160,2021,720,573,0.277,0.263,0.014000000000000012,0.395,0.383,0.01200000000000001,0.306,0.301,0.0050000000000000044
Guerrero Jr., Vladimir,665489,2021,698,496,0.311,0.307,0.0040000000000000036,0.601,0.59,0.01100000000000001,0.419,0.417,0.0020000000000000018
Freeman, Freddie,518692,2021,695,495,0.3,0.32,-0.020000000000000018,0.503,0.583,-0.07999999999999996,0.379,0.416,-0.03699999999999998
Edman, Tommy,669242,2021,691,552,0.262,0.274,-0.01200000000000001,0.387,0.401,-0.014000000000000012,0.301,0.316,-0.015000000000000013
Haniger, Mitch,571745,2021,691,459,0.253,0.262,-0.009000000000000008,0.485,0.497,-0.01200000000000001,0.34,0.353,-0.012999999999999956
Bichette, Bo,666182,2021,690,507,0.298,0.291,0.007000000000000006,0.484,0.489,-0.0050000000000000044,0.354,0.355,-0.0010000000000000009
Crawford, J.P.,641487,2021,687,510,0.273,0.257,0.016000000000000014,0.376,0.339,0.03699999999999998,0.314,0.298,0.016000000000000014
Albies, Ozzie,645277,2021,686,508,0.259,0.26,-0.0010000000000000009,0.488,0.465,0.022999999999999965,0.336,0.332,0.0040000000000000036
LeMahieu, DJ,518934,2021,679,508,0.268,0.283,-0.014999999999999958,0.362,0.397,-0.03500000000000003,0.315,0.34,-0.025000000000000022
Goldschmidt, Paul,502671,2021,679,472,0.294,0.293,0.0010000000000000009,0.514,0.575,-0.06099999999999994,0.373,0.397,-0.02400000000000002
Altuve, Jose,514888,2021,678,517,0.278,0.262,0.016000000000000014,0.489,0.421,0.068,0.357,0.332,0.024999999999999967
Kiner-Falefa, Isiah,643396,2021,677,548,0.271,0.267,0.0040000000000000036,0.357,0.349,0.008000000000000007,0.293,0.292,0.0010000000000000009
Mullins, Cedric,656775,2021,675,482,0.291,0.272,0.01899999999999996,0.518,0.447,0.07100000000000001,0.372,0.344,0.028000000000000025
Schoop, Jonathan,570731,2021,674,498,0.278,0.258,0.020000000000000018,0.435,0.404,0.030999999999999972,0.324,0.311,0.013000000000000012
Olson, Matt,621566,2021,673,463,0.271,0.264,0.007000000000000006,0.54,0.507,0.03300000000000003,0.379,0.378,0.0010000000000000009
Grossman, Robbie,543257,2021,671,410,0.239,0.234,0.004999999999999977,0.415,0.399,0.01599999999999996,0.337,0.334,0.0030000000000000027
Seager, Kyle,572122,2021,670,446,0.212,0.221,-0.009000000000000008,0.438,0.452,-0.014000000000000012,0.308,0.319,-0.01100000000000001
Fletcher, David,664058,2021,665,573,0.262,0.272,-0.010000000000000009,0.324,0.32,0.0040000000000000036,0.273,0.28,-0.007000000000000006
Perez, Salvador,521692,2021,665,454,0.273,0.276,-0.0030000000000000027,0.544,0.565,-0.020999999999999908,0.359,0.374,-0.015000000000000013
