last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Springer, George,543807,2016,744,467,0.261,0.26,0.0010000000000000009,0.457,0.471,-0.013999999999999957,0.353,0.359,-0.006000000000000005
Betts, Mookie,605141,2016,730,599,0.318,0.278,0.03999999999999998,0.534,0.446,0.08800000000000002,0.379,0.336,0.04299999999999998
Bogaerts, Xander,593428,2016,719,532,0.294,0.257,0.03699999999999998,0.446,0.402,0.043999999999999984,0.348,0.319,0.02899999999999997
Altuve, Jose,514888,2016,717,580,0.338,0.318,0.020000000000000018,0.531,0.526,0.0050000000000000044,0.391,0.385,0.006000000000000005
Canó, Robinson,429664,2016,715,560,0.298,0.283,0.015000000000000013,0.533,0.478,0.05500000000000005,0.37,0.348,0.02200000000000002
Eaton, Adam,594809,2016,706,514,0.284,0.268,0.01599999999999996,0.428,0.397,0.030999999999999972,0.344,0.33,0.013999999999999957
Goldschmidt, Paul,502671,2016,704,437,0.297,0.271,0.025999999999999968,0.489,0.458,0.030999999999999972,0.382,0.365,0.017000000000000015
Encarnación, Edwin,429665,2016,701,471,0.263,0.263,0,0.529,0.536,-0.007000000000000006,0.373,0.38,-0.007000000000000006
Donaldson, Josh,518626,2016,700,463,0.284,0.279,0.004999999999999949,0.549,0.553,-0.0040000000000000036,0.403,0.403,0
Bryant, Kris,592178,2016,699,452,0.292,0.267,0.024999999999999967,0.554,0.548,0.006000000000000005,0.396,0.386,0.010000000000000009
Pedroia, Dustin,456030,2016,698,564,0.318,0.285,0.03300000000000003,0.449,0.403,0.045999999999999985,0.358,0.331,0.02699999999999997
Arenado, Nolan,571448,2016,696,523,0.294,0.263,0.030999999999999972,0.57,0.486,0.08399999999999996,0.386,0.348,0.038000000000000034
Machado, Manny,592518,2016,696,525,0.294,0.289,0.0050000000000000044,0.533,0.525,0.008000000000000007,0.366,0.366,0
Abreu, José,547989,2016,695,508,0.293,0.28,0.012999999999999956,0.468,0.467,0.0010000000000000009,0.349,0.348,0.0010000000000000009
Segura, Jean,516416,2016,694,542,0.319,0.274,0.044999999999999984,0.499,0.459,0.03999999999999998,0.371,0.339,0.03199999999999997
Freeman, Freddie,518692,2016,693,423,0.302,0.282,0.020000000000000018,0.569,0.568,0.0010000000000000009,0.402,0.397,0.0050000000000000044
Dozier, Brian,572821,2016,691,484,0.268,0.235,0.03300000000000003,0.546,0.46,0.08600000000000002,0.37,0.329,0.04099999999999998
Santana, Carlos,467793,2016,688,488,0.259,0.275,-0.016000000000000014,0.498,0.515,-0.017000000000000015,0.37,0.385,-0.015000000000000013
Kipnis, Jason,543401,2016,688,476,0.275,0.27,0.0050000000000000044,0.469,0.453,0.01599999999999996,0.347,0.345,0.0020000000000000018
Seager, Corey,608369,2016,687,496,0.308,0.304,0.0040000000000000036,0.512,0.521,-0.009000000000000008,0.372,0.376,-0.0040000000000000036
Longoria, Evan,446334,2016,685,496,0.273,0.269,0.0040000000000000036,0.521,0.541,-0.020000000000000018,0.35,0.361,-0.01100000000000001
Markakis, Nick,455976,2016,684,507,0.269,0.276,-0.007000000000000006,0.397,0.415,-0.01799999999999996,0.321,0.337,-0.016000000000000014
Lindor, Francisco,596019,2016,684,534,0.301,0.288,0.013000000000000012,0.435,0.424,0.01100000000000001,0.34,0.338,0.0020000000000000018
Escobar, Alcides,444876,2016,682,556,0.261,0.244,0.017000000000000015,0.35,0.322,0.02799999999999997,0.278,0.262,0.016000000000000014
Trout, Mike,545361,2016,681,417,0.315,0.304,0.01100000000000001,0.55,0.573,-0.02299999999999991,0.418,0.427,-0.009000000000000008
Kinsler, Ian,435079,2016,679,506,0.288,0.267,0.020999999999999963,0.484,0.417,0.067,0.356,0.326,0.02999999999999997
Villar, Jonathan,542340,2016,679,424,0.285,0.242,0.04299999999999998,0.457,0.377,0.08000000000000002,0.356,0.315,0.04099999999999998
