last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Cabrera, Miguel,408234,2017,529,362,0.249,0.282,-0.032999999999999974,0.399,0.521,-0.122,0.313,0.37,-0.056999999999999995
Granderson, Curtis,434158,2017,527,329,0.212,0.225,-0.013000000000000012,0.452,0.454,-0.0020000000000000018,0.33,0.34,-0.010000000000000009
Sánchez, Gary,596142,2017,525,355,0.278,0.288,-0.009999999999999953,0.531,0.552,-0.02100000000000002,0.368,0.385,-0.017000000000000015
Davis, Chris,448801,2017,524,265,0.215,0.223,-0.008000000000000007,0.423,0.447,-0.02400000000000002,0.312,0.329,-0.017000000000000015
Alonso, Yonder,475174,2017,521,333,0.266,0.26,0.006000000000000005,0.501,0.497,0.0040000000000000036,0.366,0.362,0.0040000000000000036
Peraza, José,606299,2017,518,421,0.259,0.283,-0.023999999999999966,0.324,0.367,-0.04299999999999998,0.273,0.302,-0.02899999999999997
Gonzalez, Marwin,503556,2017,515,361,0.303,0.247,0.055999999999999994,0.53,0.408,0.12200000000000005,0.382,0.32,0.062
Freeman, Freddie,518692,2017,514,347,0.307,0.292,0.015000000000000013,0.586,0.595,-0.009000000000000008,0.407,0.406,0.0009999999999999454
Solarte, Yangervis,500208,2017,512,409,0.255,0.242,0.013000000000000012,0.416,0.376,0.03999999999999998,0.311,0.295,0.016000000000000014
Buxton, Byron,621439,2017,511,319,0.253,0.236,0.017000000000000015,0.413,0.387,0.025999999999999968,0.312,0.298,0.014000000000000012
Beltrán, Carlos,136860,2017,509,371,0.231,0.229,0.0020000000000000018,0.383,0.369,0.014000000000000012,0.283,0.284,-0.0010000000000000009
Báez, Javier,595879,2017,508,333,0.273,0.239,0.03400000000000003,0.48,0.429,0.05099999999999999,0.326,0.295,0.031000000000000028
Cozart, Zack,446359,2017,507,364,0.297,0.255,0.04199999999999998,0.548,0.4,0.14800000000000002,0.392,0.33,0.062
Trout, Mike,545361,2017,507,316,0.306,0.294,0.01200000000000001,0.629,0.589,0.040000000000000036,0.437,0.425,0.01200000000000001
Freese, David,501896,2017,503,314,0.263,0.258,0.0050000000000000044,0.371,0.395,-0.02400000000000002,0.326,0.341,-0.015000000000000013
Valencia, Danny,502143,2017,500,336,0.256,0.242,0.014000000000000012,0.411,0.385,0.025999999999999968,0.311,0.302,0.009000000000000008
Escobar, Eduardo,500871,2017,499,363,0.254,0.258,-0.0040000000000000036,0.449,0.464,-0.015000000000000013,0.32,0.332,-0.01200000000000001
Perez, Salvador,521692,2017,498,381,0.268,0.278,-0.010000000000000009,0.495,0.535,-0.040000000000000036,0.329,0.351,-0.021999999999999964
Gennett, Scooter,571697,2017,497,349,0.295,0.249,0.045999999999999985,0.531,0.427,0.10400000000000004,0.367,0.312,0.05499999999999999
Zobrist, Ben,450314,2017,496,369,0.232,0.258,-0.025999999999999995,0.375,0.399,-0.02400000000000002,0.302,0.325,-0.02300000000000002
