last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Freeman, Freddie,518692,2023,140,99,0.309,0.331,-0.02200000000000002,0.496,0.547,-0.051000000000000045,0.381,0.407,-0.025999999999999968
Verdugo, Alex,657077,2023,139,109,0.317,0.315,0.0020000000000000018,0.524,0.495,0.029000000000000026,0.392,0.381,0.01100000000000001
Kwan, Steven,680757,2023,139,106,0.269,0.268,0.0010000000000000009,0.319,0.327,-0.008000000000000007,0.306,0.312,-0.006000000000000005
Hoerner, Nico,663538,2023,138,117,0.31,0.315,-0.0050000000000000044,0.411,0.415,-0.0040000000000000036,0.334,0.339,-0.0050000000000000044
Turner, Trea,607208,2023,138,96,0.262,0.238,0.02400000000000002,0.392,0.348,0.04400000000000004,0.3,0.272,0.02799999999999997
Stott, Bryson,681082,2023,137,106,0.305,0.275,0.02999999999999997,0.405,0.362,0.04300000000000004,0.326,0.295,0.031000000000000028
Turner, Justin,457759,2023,136,101,0.265,0.256,0.009000000000000008,0.368,0.437,-0.069,0.33,0.348,-0.01799999999999996
Olson, Matt,621566,2023,136,66,0.248,0.203,0.044999999999999984,0.531,0.482,0.049000000000000044,0.39,0.356,0.03400000000000003
Guerrero Jr., Vladimir,665489,2023,136,104,0.311,0.324,-0.013000000000000012,0.487,0.583,-0.09599999999999997,0.384,0.423,-0.03899999999999998
Soto, Juan,665742,2023,136,75,0.222,0.24,-0.017999999999999988,0.417,0.465,-0.04800000000000004,0.352,0.373,-0.02100000000000002
Bregman, Alex,608324,2023,136,98,0.211,0.258,-0.047000000000000014,0.325,0.446,-0.121,0.307,0.365,-0.057999999999999996
Acuña Jr., Ronald,660670,2023,136,97,0.362,0.35,0.01200000000000001,0.586,0.659,-0.07300000000000006,0.443,0.467,-0.02400000000000002
Bichette, Bo,666182,2023,136,106,0.339,0.35,-0.010999999999999954,0.543,0.554,-0.01100000000000001,0.4,0.409,-0.008999999999999952
Ramírez, José,608070,2023,134,104,0.287,0.307,-0.020000000000000018,0.461,0.488,-0.02699999999999997,0.351,0.37,-0.019000000000000017
Rutschman, Adley,668939,2023,133,92,0.315,0.308,0.007000000000000006,0.472,0.511,-0.039000000000000035,0.392,0.407,-0.014999999999999958
Semien, Marcus,543760,2023,132,94,0.278,0.238,0.040000000000000036,0.47,0.372,0.09799999999999998,0.361,0.312,0.04899999999999999
Devers, Rafael,646240,2023,131,95,0.227,0.261,-0.034,0.538,0.57,-0.03199999999999992,0.338,0.37,-0.03199999999999997
India, Jonathan,663697,2023,131,93,0.273,0.258,0.015000000000000013,0.373,0.381,-0.008000000000000007,0.338,0.338,0
Schwarber, Kyle,656941,2023,131,73,0.2,0.21,-0.009999999999999981,0.427,0.416,0.01100000000000001,0.334,0.334,0
Riley, Austin,663586,2023,131,78,0.241,0.237,0.0040000000000000036,0.411,0.382,0.02899999999999997,0.329,0.32,0.009000000000000008
