last_name,first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Aguilar, Jesús,542583,47,22.1,38.3,108.2,87.8,90,85.8,426,194,399,14,29.8,3,6.4,4.3
Vargas, Miguel,678246,46,11.7,43.5,108.1,86.5,91.3,82.2,382,183,,15,32.6,2,4.3,2.6
Rosario, Eddie,592696,46,14.9,30.4,109.8,88.8,95.9,81,410,187,404,19,41.3,5,10.9,7.8
O'Neill, Tyler,641933,46,13.8,39.1,109,90,93.8,86.2,461,173,432,22,47.8,6,13,7.9
Volpe, Anthony,683011,46,16.4,26.1,104.6,88.4,91.7,84.4,394,170,379,17,37,3,6.5,3.5
Rendon, Anthony,543685,46,13.1,34.8,102.7,91.2,91.2,91.2,379,170,,18,39.1,1,2.2,1.6
Maton, Nick,665155,46,20.4,28.3,106.1,88.3,92.7,87.2,408,187,391,19,41.3,7,15.2,9.5
Gonzalez, Oscar,660757,46,9.2,37,111.5,87.6,90.6,84.3,424,162,424,13,28.3,3,6.5,5
Taylor, Michael A.,572191,46,18,37,109.5,88.7,91.9,86.6,444,185,412,18,39.1,7,15.2,9
Bae, Ji Hwan,678225,45,12.1,31.1,107.7,87.3,90.9,82.9,403,141,381,15,33.3,2,4.4,2.9
Raleigh, Cal,663728,45,15.8,42.2,113.3,87.4,93.2,80.5,392,171,384,15,33.3,6,13.3,8
Rengifo, Luis,650859,45,5.6,26.7,109.1,87.9,91.5,85.8,395,130,395,15,33.3,1,2.2,1.4
Murphy, Sean,669221,45,12.9,40,113.8,92.5,98.5,86.9,436,203,421,22,50,12,26.7,14.6
Turang, Brice,668930,45,8.3,35.6,104.8,88.8,92.8,86.4,417,147,408,16,35.6,2,4.4,2.8
Melendez, MJ,669004,45,16.6,33.3,113.2,96.2,98.2,92.3,443,224,419,28,62.2,9,20,10.6
Gomes, Yan,543228,45,9.4,22.2,109.6,86.5,92.3,81.3,391,160,376,17,37.8,5,11.1,9.4
Marsh, Brandon,669016,44,9.9,36.4,109.8,91.2,95,87.2,436,170,405,19,43.2,6,13.6,7.8
Gordon, Nick,624503,44,7.8,40.9,105.4,88.4,92.9,84.4,382,164,,17,38.6,1,2.3,2
Muncy, Max,571970,44,20.4,25,111.1,94,100.8,86.4,433,205,395,22,50,13,29.5,14.4
Solano, Donovan,456781,44,15.7,40.9,107.1,89.8,90.4,90.7,364,177,,17,38.6,1,2.3,1.6
Heim, Jonah,641680,44,17,36.4,106.6,92.4,95.3,90,429,206,410,22,50,6,13.6,9.2
Wong, Kolten,543939,44,16,20.5,107.9,82.9,87,82.9,371,149,,9,20.5,0,0,0
Hosmer, Eric,543333,43,-1.4,20.9,110.3,85.6,92.1,82.6,398,103,398,15,34.9,3,7,5.1
Peterson, Jace,607054,43,10.9,37.2,108.3,85.4,89.5,81.3,401,172,401,13,30.2,3,7,4.3
Escobar, Eduardo,500871,43,14.6,27.9,108.9,87.3,91,82.9,371,151,371,16,37.2,2,4.7,3.3
Joe, Connor,656582,43,8.7,41.9,108.5,91.2,91.2,92.1,419,170,415,23,53.5,6,14,9.1
Grossman, Robbie,543257,43,21.7,23.3,109,88.4,89.7,89.9,396,173,395,16,37.2,3,7,4.5
Lowe, Brandon,664040,42,16.9,38.1,108.2,91.7,96.3,86.1,431,201,402,23,54.8,11,26.2,13.9
Vierling, Matt,663837,42,13.2,40.5,111.3,91.7,91.9,94.2,426,181,426,19,45.2,1,2.4,1.5
Crawford, Brandon,543063,42,8.9,26.2,108.8,88.4,92.6,85.7,415,152,385,13,31,4,9.5,5.9
Cave, Jake,595909,42,13.7,23.8,105.9,87.9,92.4,82,413,184,413,11,26.2,4,9.5,6.6
Casas, Triston,671213,42,14.5,35.7,111,89.9,96,80.7,426,182,392,13,31,4,9.5,5
Carpenter, Kerry,681481,41,9.3,26.8,109.3,90,97.5,82.8,403,169,371,18,43.9,8,19.5,12.5
Kirk, Alejandro,672386,41,7,39,107.7,85.5,87.6,83.3,398,157,398,13,31.7,4,9.8,6.1
Arroyo, Christian,624414,41,20.1,26.8,109.6,84.7,86.9,87.2,362,162,,10,24.4,0,0,0
Julks, Corey,667452,41,22.7,46.3,109.6,90.4,92.6,90.2,424,187,415,20,48.8,2,4.9,3.3
Barrero, Jose,676480,41,10.9,29.3,108.7,89.1,92.8,84.2,455,156,455,16,39,1,2.4,1.5
Stanton, Giancarlo,519317,41,6.7,31.7,117.8,95.9,99.7,95.3,485,166,416,25,61,9,22,16.7
Villar, David,681584,41,18.3,41.5,106.8,88,92.9,79.6,410,192,393,14,34.1,6,14.6,8
Castro, Rodolfo,666801,40,15.1,25,110.6,91.3,95.1,87,458,186,430,19,47.5,6,15,8.7
